adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/IRN1JuNwr1VKp88Dscgja2uR8H.jpg,"[10752, 36, 18, 28]",508935,zh,八佰,"In 1937, eight hundred Chinese soldiers fight under siege from a warehouse in the middle of the Shanghai battlefield, completely surrounded by the Japanese army.",17.692,/7L3bDCQaSJiJ42v4WGml5xLQPWW.jpg,2020-08-14,The Eight Hundred,False,6.952,259
False,/2nnHO8neaPSdFQJF0HdZOLFufiG.jpg,"[18, 35]",690846,es,"Patricia, Una Pasión Escondida","Patricia is a successful couples therapist. Your marriage is going through a bad time. But when she meets a student, Pablo will transform her own beliefs about sex.",17.618,/tWVppr1BlawmBWrlOOGIfr0ujH.jpg,2020-01-21,"Patricia, A Hidden Passion",False,5.865,37
False,/9XCnndiIzsWibZhxPoo8EV04fzr.jpg,[18],530956,en,All Day and a Night,"While serving life in prison, a young man looks back at the people, the circumstances and the system that set him on the path toward his crime.",17.455,/8xiV8j18GhWnnrfMGaDR0E5oOif.jpg,2020-05-01,All Day and a Night,False,6.234,171
False,/zFbhLim5PWLTmQgvMAlj48ExCsv.jpg,"[18, 9648, 53]",567608,en,Last Moment of Clarity,"After his girlfriend Georgia is murdered by European mobsters, Sam flees to Paris to hide out. Years later, he sees a woman in a Hollywood film who he's certain is Georgia. In L.A. to investigate, he encounters Kat who impulsively decides to help him on his quest. But when Sam meets the mystery actress face to face his life spins out of control.",17.322,/mHWbWIB2YntY9865pXfqoVf8vAy.jpg,2020-05-19,Last Moment of Clarity,False,5.211,128
False,/qletQdagnYZ7StKZH209AkgKEVf.jpg,"[28, 18, 14, 9648, 878]",757860,zh,晴雅集,"Every few hundred years, the most powerful demon on earth—a snake demon—awakens, and the Yin-Yang Masters are summoned to the capital. Meanwhile, the Princess of the realm has her own plans, as she conspires to claim the demon’s power.",17.299,/9FJEUKmVgazCbhLNNGDXwqDUImQ.jpg,2020-12-24,The Yin-Yang Master: Dream of Eternity,False,7.368,189
False,/vT1hZ96uCcvv3C20d9nm90ZX1Ql.jpg,"[18, 53]",449756,en,The Postcard Killings,"After suffering a personal tragedy, and desperate for justice, Jacob Kanon, a veteran New York City police detective, embarks on the search for a twisted killer who is leaving a bloody trail of elaborate murders across Europe.",17.254,/ugLLTEYBuNTqdQ0zCjFCJ5mI44p.jpg,2020-03-13,The Postcard Killings,False,6.397,566
False,/b8EeJnKkjatM3b0dvWpQOKNf0vN.jpg,"[18, 9648, 53]",602147,en,Inheritance,"The patriarch of a wealthy and powerful family suddenly passes away, leaving his wife and daughter with a shocking secret inheritance that threatens to unravel and destroy their lives.",17.218,/l13mt3oHErSkkqJbN1bjzgtK0Vq.jpg,2020-04-30,Inheritance,False,6.367,611
False,/4DDG15BS0qLtltiM3MLldEr0JHz.jpg,"[18, 10749]",729304,ko,바꿔 할래?,"Dongwon-Minho brothers living in one house. My brother Dong-won is watching a video at home without a girlfriend. She introduces a woman because her younger sister is sorry. That night, Dongwon's girlfriend support and introduce to her brother. Invites Jisu to the house and gathers for a drink. The night is getting deeper and drinking is. Suddenly Jisu kisses Minho, Let's seduce them and make love that day. The next day, Index and Ji-won come back to play. My older brother, Gim, who became a younger brother's lover. Sneaking into her sleeping room...",17.012,/showbtVGSiZJmKoVXJk9WfdfInB.jpg,2020-03-16,Do You Want to Change?,False,7.3,3
False,/7b5R8FfGUzlxfhOkPpL3xyIeuyF.jpg,"[18, 10402]",502033,en,Sound of Metal,"Metal drummer Ruben begins to lose his hearing. When a doctor tells him his condition will worsen, he thinks his career and life is over. His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. After being welcomed and accepted just as he is, Ruben must choose between his new normal and the life he once knew.",16.98,/3178oOJKKPDeQ2legWQvMPpllv.jpg,2020-11-20,Sound of Metal,False,7.7,2477
False,/9plj0RR5LJOQQ77ucRZzi88uRzY.jpg,"[99, 18]",656690,en,The Social Dilemma,"This documentary-drama hybrid explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.",16.685,/jcaM6V2tCtu6iMHDsGLBUbaYgYp.jpg,2020-01-26,The Social Dilemma,False,7.466,1566
False,/21Q8bzu10YF9i4O5amBkJBombYo.jpg,"[10402, 18, 10749]",585244,en,I Still Believe,The true-life story of Christian music star Jeremy Camp and his journey of love and loss that looks to prove there is always hope.,16.552,/dqA2FCzz4OMmXLitKopzf476RVB.jpg,2020-03-12,I Still Believe,False,7.613,1161
False,/5rwcd24GGltKiqdPT4G2dmchLr9.jpg,"[35, 18]",579583,en,The King of Staten Island,"Scott has been a case of arrested development ever since his firefighter father died when he was seven. He's now reached his mid-20s having achieved little, chasing a dream of becoming a tattoo artist that seems far out of reach. As his ambitious younger sister heads off to college, Scott is still living with his exhausted ER nurse mother and spends his days smoking weed, hanging with the guys — Oscar, Igor and Richie — and secretly hooking up with his childhood friend Kelsey. But when his mother starts dating a loudmouth firefighter named Ray, it sets off a chain of events that will force Scott to grapple with his grief and take his first tentative steps toward moving forward in life.",16.378,/zQFjMmE3K9AX5QrBL1SXIxYQ9jz.jpg,2020-07-22,The King of Staten Island,False,7.008,986
False,/bMKGU5HFHPvg67ybbNXnBvpFEp0.jpg,"[18, 14, 9648, 53]",500840,en,I'm Thinking of Ending Things,Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm.,16.331,/5ynWWapdl45hJXUh0KIevxSG9JQ.jpg,2020-08-28,I'm Thinking of Ending Things,False,6.572,1898
False,/rTrIGYSeYgNhfAfIhgIhqfcGNue.jpg,[18],705559,es,Los novios de mi madre,"Luisa has a habit of bringing her dates home, irritating her son, Cesar. When Cesar invites his best friend Pablo over for a sleepover, Luisa's flirtations become too much to bear, especially as Cesar has his own feelings towards Pablo.",16.316,/4XZYlG3KwUVRnSXjP10WNnmNMjC.jpg,2020-05-29,My Mother's Lovers,False,2.8,5
False,/7XZsVVnqTsMJXg3J4CHzeV2Lro9.jpg,"[28, 35, 18]",663870,da,Retfærdighedens ryttere,"Markus returns home to care for his daughter when his wife dies in a tragic train accident. However, when a survivor of the wreck surfaces and claims foul play, Markus suspects his wife was murdered and embarks on a mission to find those responsible.",16.211,/sshNnwmQLk720iBQ0dZg3GVGKfK.jpg,2020-11-19,Riders of Justice,False,7.27,820
False,/umRu7cN3wIf1kRbCdhQkx6cVGZN.jpg,"[10751, 35, 18]",508570,en,The One and Only Ivan,"A gorilla named Ivan who’s living in a suburban shopping mall tries to piece together his past, with the help of other animals, as they hatch a plan to escape from captivity.",16.121,/ktk2TlhVrukJv1jPJbiWY3nsHM6.jpg,2020-08-21,The One and Only Ivan,False,7.396,577
False,/jqOCty3utHRzDf8BNX5rP6p0UDe.jpg,"[14, 18]",399363,en,Wendy,"A re-imagining of ""Peter Pan"" from the point of view of Wendy Darling, who finds herself lost on a mysterious island where aging and time have come unglued. She must fight to save her family, her freedom and the joyous spirit of youth.",16.087,/nphsStbtAuJ2IaXtCvDXDwMUF5N.jpg,2020-02-28,Wendy,False,5.7,121
False,/fZBQOScjDT8TAipEyCkLVeDTu5c.jpg,"[35, 10402, 18]",707886,en,Feel the Beat,"After failing to make it on Broadway, April returns to her hometown and reluctantly begins training a misfit group of young dancers for a competition.",16.076,/Af2jt7m9GLFpR4V11xOsFmT8OKD.jpg,2020-06-19,Feel the Beat,False,7.588,1108
False,/rWrvcsrvISKXdMOzCdkvU3Jtg0j.jpg,"[53, 80, 18]",582014,en,Promising Young Woman,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",16.034,/73QoFJFmUrJfDG2EynFjNc5gJxk.jpg,2020-12-13,Promising Young Woman,False,7.437,3166
False,/dUasP5TGFk1dhTgtNhk5uLRPRx6.jpg,"[10752, 36, 18]",592279,ru,Калашников,"Tank commander Kalashnikov is severely injured in battle in 1941. The accident leaves him incapacitated and unable to return to the front line. While recovering in the hospital he begins creating the initial sketches of what will become one of the world’s most legendary weapons. A self-taught inventor, Mikhail Kalashnikov, is only 29 when he develops the now iconic assault riffle — the AK-47.",15.991,/ApfjrFsGunqLo5MKYGtFMTSTaMq.jpg,2020-02-20,Kalashnikov AK-47,False,7.402,287
