adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/j10MWHQ9LQbgDRlGxl7NfyhOJu9.jpg,"[18, 53, 27]",1162791,es,Mamántula,"Mamántula is the boy everyone wants, but also a giant spider transvestite of human, fruit of a brief encounter in the Berlin Tiergarten, in an alternate past of brutalist saunas, endless subway corridors and detectives with raincoats and hats. Each lover of Mamántula is a new victim of his insatiable appetite for revenge and sperm; and each victim, one more thread of the web with which he intends to apprehend the entire planet. Will Golden Dick be able to stop him? Will a couple of lovebirds with police badges get him? Or will the gay community have to step in and take the law into their own hands?",9.468,/iodTtVpD5iNqejWrXSPYtVrvewr.jpg,2023-09-22,Mamántula,False,4.0,1
False,/ch8lja7tjs6DAcq0w9IXhs46va6.jpg,"[53, 18, 27]",946215,en,In the Fire,"A doctor from New York travels to a remote plantation in the 1890s to care for a disturbed boy who seems to have inexplicable abilities. She begins treating the child, but in doing so, ignites a war between science and religion as the local priest believes the boy is possessed by the devil and the cause of the village's woes.",9.39,/rS6GBWRgKkvmcPvtKNuhGkQggjz.jpg,2023-09-14,In the Fire,False,4.7,40
False,/zWtF5eWVAyenIYu26VZbsLJon38.jpg,"[28, 27, 53]",1189798,en,Squealer,"When young women begin to disappear across a small town, a police officer and a street-smart social worker follow clues to a remote pig farm and discover the local butcher has been bringing his work home.",9.334,/wdNdrqVJgkNNuYbI11TiiYkuP7Q.jpg,2023-11-03,Squealer,False,5.943,44
False,/87cmkrBUYo94h7kvfDRmg3ZAbCo.jpg,"[14, 27, 18]",1047223,fr,Le Vourdalak,"Lost in a hostile forest, the Marquis d'Urfé, a noble emissary of the King of France, finds refuge in the home of a strange family.",9.324,/octU7FvCP8jH5Lxy52bzlIiFXGX.jpg,2023-10-25,The Vourdalak,False,6.0,21
False,/sND882do55gqEesXphuiDRQSeQh.jpg,"[14, 27, 878]",1058619,en,Divinity,"Two brothers crash into the decaying Earth to stop a capitalist from manufacturing an immortality serum, which is synthesized utilizing heinous methods and leaving an increasingly dire infertility rate in its wake.",9.288,/3Ri4XxXNCUKwlZWXgoVNftF7GIY.jpg,2023-10-13,Divinity,False,5.5,23
False,/qkv9i6XvM5O7iYYsJHQff4ZN01J.jpg,"[27, 878, 53, 35]",1013870,en,Kids vs. Aliens,"All Gary wants is to make awesome home movies with his best buds. All his older sister Samantha wants is to hang with the cool kids. When their parents head out of town one Halloween weekend, an all-time rager of a teen house party turns to terror when aliens attack, forcing the siblings to band together to survive the night.",9.259,/wQ53sO5n9LCFbssV3oQ4CuajL1L.jpg,2023-01-20,Kids vs. Aliens,False,5.3,75
False,/xmwHKkDrTAOFK2odRJFpeKp3eEx.jpg,"[27, 9648, 53]",841742,fr,Megalomaniac,"Felix and Martha, the two offspring of legendary serial murderer The Skinner of Mons, grapple with the grotesque legacy bequeathed to them. While Martha works a menial janitorial job, Felix continues his father's reign of terror. But following a brutal attack at work, Martha quickly descends into madness, finding she must come to terms with the infamous blood that flows through her veins.",9.237,/8HKjrjwTjvDscC9uZNk6dCRHcfd.jpg,2023-09-08,Megalomaniac,False,5.776,38
False,/kQowAkBqJMv8u2c9GcpOc2W6ZuR.jpg,"[27, 53]",1094596,en,Trim Season,"A group of young people go to a remote marijuana farm where they hope to make quick cash. But, they discover the location's dark secrets and now must try to escape the mountain on which they are trapped.",9.202,/tHlKo2CQbI7OWD0hcEB0vhm5fK7.jpg,2023-03-31,Trim Season,False,4.0,5
False,/1Kqp15MtZED7IVXFxNy9jXlX6xd.jpg,"[27, 9648, 878]",1114205,ja,忌怪島／きかいじま,Mysterious deaths befall on employees of a VR-tech company. There's an unprecedented fear waiting between reality and the virtual world.,9.188,/5UA8qwDaCFCA2eyNafGZZQiKvSX.jpg,2023-06-16,Immersion,False,5.9,11
False,/q55E2yzQbiTzTPtulphlBskzX5k.jpg,"[27, 53]",1222274,vi,Quỷ Cẩu,The return of Nam and his girlfriend Xuan brings countless troubles to the family. He gradually discovers the broken relationships of the family members.,9.184,/6xXVV3kB0gKKJKIGI5CvXvFmaGx.jpg,2023-12-29,Crimson Snout,False,4.0,5
