adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/dEh93Ni98JWh7fmhD56ZlOFQmoT.jpg,"[80, 53, 28]",606523,ko,낙원의 밤,"An assassin named Tae-goo is offered a chance to switch sides with his rival Bukseong gang, headed by Chairman Doh. Tae-goo rejects the offer that results in the murder of his sister and niece. In revenge, Tae-goo brutally kills Chairman Doh and his men and flees to Jeju Island where he meets Jae-yeon, a terminally ill woman. Though, the henchman of the Bukseong gang, Executive Ma is mercilessly hunting Tae-goo to take revenge.",19.697,/dYCWUAidqgakGETwZkfGxU7CWhL.jpg,2020-09-03,Night in Paradise,False,6.929,247
False,/oSSEcPDfwgZSv2i01Oqxdb9t8fI.jpg,"[28, 12, 35, 14]",621870,en,Secret Society of Second Born Royals,"Sam is a teenage royal rebel, second in line to the throne of the kingdom of Illyria. Just as her disinterest in the royal way of life is at an all-time high, she discovers she has super-human abilities and is invited to join a secret society of similar extraordinary second-born royals charged with keeping the world safe.",18.423,/xOmGTJtBgRVSAF4S5dZEUqHqyy5.jpg,2020-09-25,Secret Society of Second Born Royals,False,6.7,529
False,/4xIBM8RwIvpwMlJSoF6tqFOaB6N.jpg,"[10751, 28, 35]",592834,en,My Spy,"A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.",18.353,/n2C6jRK9PtPIs99RQhKtqGlsnsO.jpg,2020-01-09,My Spy,False,6.904,1209
False,/2M2JxEv3HSpjnZWjY9NOdGgfUd.jpg,"[53, 28, 80]",553604,en,Honest Thief,"A bank robber tries to turn himself in because he's falling in love and wants to live an honest life...but when he realizes the Feds are more corrupt than him, he must fight back to clear his name.",18.004,/zeD4PabP6099gpE0STWJrJrCBCs.jpg,2020-09-03,Honest Thief,False,6.495,1706
False,/IRN1JuNwr1VKp88Dscgja2uR8H.jpg,"[10752, 36, 18, 28]",508935,zh,八佰,"In 1937, eight hundred Chinese soldiers fight under siege from a warehouse in the middle of the Shanghai battlefield, completely surrounded by the Japanese army.",17.692,/7L3bDCQaSJiJ42v4WGml5xLQPWW.jpg,2020-08-14,The Eight Hundred,False,6.952,259
False,/8HbqSozBJxv6UldR9lMUECUlbLI.jpg,"[878, 12, 28]",430155,ru,Кома,"A young and talented architect comes to his senses after a horrific accident only to find himself in the odd dystopian world. A world that is filled with the memories of all current coma patients. Just like a human memory this world is fragmental, chaotic and unstable. This is COMA: icecaps, rivers and cities can all exist in a space of a single room and laws of physics are no longer laws as they can be bent.",17.437,/ijJm0RSeKIr67qkHLtSmtigS6ra.jpg,2020-01-01,Coma,False,6.421,528
False,/qletQdagnYZ7StKZH209AkgKEVf.jpg,"[28, 18, 14, 9648, 878]",757860,zh,晴雅集,"Every few hundred years, the most powerful demon on earth—a snake demon—awakens, and the Yin-Yang Masters are summoned to the capital. Meanwhile, the Princess of the realm has her own plans, as she conspires to claim the demon’s power.",17.299,/9FJEUKmVgazCbhLNNGDXwqDUImQ.jpg,2020-12-24,The Yin-Yang Master: Dream of Eternity,False,7.368,189
False,/sFLgXQGrSWxnjmPOpGKPApWNOUH.jpg,"[12, 36, 28]",635237,en,Arthur & Merlin: Knights of Camelot,King Arthur returns home after fighting the Roman Empire. His illegitimate son has corrupted the throne of Camelot and King Arthur must reunite with the wizard Merlin and the Knights of the Round Table to fight to get back his crown.,16.847,/chGTXsvn53XvEnvsJ9ZD9eiYKx9.jpg,2020-05-28,Arthur & Merlin: Knights of Camelot,False,5.3,123
False,/ftODZXaXpWtV5XFD8gS9n9KwLDr.jpg,"[35, 28, 53]",581600,en,Spenser Confidential,"Spenser, a former Boston patrolman who just got out from prison, teams up with Hawk, an aspiring fighter, to unravel the truth behind the death of two police officers.",16.65,/fePczipv6ZzDO2uoww4vTAu2Sq3.jpg,2020-03-06,Spenser Confidential,False,6.538,2260
False,/nz8xWrTKZzA5A7FgxaM4kfAoO1W.jpg,"[878, 28, 27]",651571,en,Breach,"A hardened mechanic must stay awake and maintain an interstellar ark fleeing the dying planet Earth with a few thousand lucky souls on board... the last of humanity. Unfortunately, humans are not the only passengers. A shapeshifting alien creature has taken residence, its only goal is to kill as many people as possible. The crew must think quickly to stop this menace before it destroys mankind.",16.647,/13B6onhL6FzSN2KaNeQeMML05pS.jpg,2020-12-17,Breach,False,4.211,636
